COUNT;HORN RULES (filtered)
3/3;sveiser & kvinne ---> FALSE
2/3;elektriker & kvinne & mellom 40 og 50 ---> FALSE
2/3;elektriker & kvinne & mellom 50 og 60 ---> FALSE
2/3;kvinne & rørlegger ---> FALSE
1/3;arkitekt ---> Europa
1/3;arkitekt ---> mann
1/3;arkitekt ---> mellom 50 og 60
1/3;yngre enn 20 & Ålesund & kvinne ---> sykepleier
1/3;Kristiansand & Asia & kvinne & eldre enn 60 & psykolog ---> FALSE
1/3;Stavanger & Afrika ---> FALSE
1/3;Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/3;arkitekt & Oslo & Australia & kvinne & eldre enn 60 ---> FALSE
1/3;arkitekt & Stavanger & Australia & kvinne & mellom 40 og 50 ---> FALSE
1/3;elektriker & Stavanger & kvinne ---> FALSE
1/3;mann & frisør ---> FALSE
1/3;mellom 20 og 30 & elektriker & Trondheim & Sør Amerika & kvinne ---> FALSE
1/3;mellom 30 og 40 & Bodø & kvinne ---> FALSE
1/3;politiker & mellom 30 og 40 & kvinne ---> FALSE
1/3;yngre enn 20 & Kristiansand & kvinne & psykolog ---> FALSE
1/3;yngre enn 20 & Stavanger & Asia & kvinne & psykolog ---> FALSE
1/3;yngre enn 20 & politiker & Tromsø & Sør Amerika & kvinne ---> FALSE
1/3;Tromsø ---> mann
1/3;Tromsø ---> mellom 20 og 30
1/3;Oslo & mellom 30 og 40 & kvinne & psykolog ---> FALSE
1/3;Stavanger & Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/3;Stavanger & kvinne & mellom 50 og 60 ---> FALSE
1/3;Sør Amerika & eldre enn 60 ---> FALSE
1/3;arkitekt & mellom 30 og 40 & Europa & kvinne ---> FALSE
1/3;elektriker & Bergen & Nord Amerika & kvinne ---> FALSE
1/3;mellom 20 og 30 & politiker & kvinne ---> FALSE
1/3;mellom 20 og 30 & Ålesund & Asia & kvinne ---> FALSE
1/3;politiker & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/3;Asia & psykolog ---> Bergen
1/3;Asia & psykolog ---> mann
1/3;Asia & psykolog ---> mellom 20 og 30
1/3;Bergen & Australia ---> mann
1/3;Bergen & Australia ---> mellom 40 og 50
1/3;Bergen & Australia ---> psykolog
1/3;Trondheim ---> mann
1/3;Europa & kvinne & mellom 50 og 60 & psykolog ---> FALSE
1/3;Oslo & kvinne & mellom 50 og 60 ---> FALSE
1/3;Stavanger & mellom 30 og 40 ---> FALSE
1/3;Sør Amerika & kvinne & mellom 40 og 50 & psykolog ---> FALSE
1/3;Sør Amerika & mann & frisør ---> FALSE
1/3;elektriker & Ålesund & kvinne ---> FALSE
1/3;mellom 20 og 30 & Europa & kvinne ---> FALSE
1/3;mellom 20 og 30 & arkitekt & Tromsø & Nord Amerika & kvinne ---> FALSE
1/3;mellom 30 og 40 & Bodø & Afrika & kvinne & rørlegger ---> FALSE
1/3;mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
1/3;yngre enn 20 & Bodø & kvinne ---> FALSE
1/3;yngre enn 20 & arkitekt & Tromsø & Sør Amerika & kvinne ---> FALSE
