EXTRACTED HORN RULES
Afrika & Australia ---> FALSE
Afrika & Europa ---> FALSE
Afrika & Nord Amerika ---> FALSE
Afrika & Sør Amerika ---> FALSE
Asia & Afrika ---> FALSE
Asia & Australia ---> FALSE
Asia & Europa ---> FALSE
Asia & Nord Amerika ---> FALSE
Asia & Sør Amerika ---> FALSE
Bergen & Bodø ---> FALSE
Bergen & Tromsø ---> FALSE
Bergen & Trondheim ---> FALSE
Bergen & Ålesund ---> FALSE
Bodø & Tromsø ---> FALSE
Europa & Australia ---> FALSE
Europa & kvinne & mellom 50 og 60 ---> Bodø
Europa & kvinne & mellom 50 og 60 ---> frisør
Kristiansand & Bergen ---> FALSE
Kristiansand & Bodø ---> FALSE
Kristiansand & Stavanger ---> FALSE
Kristiansand & Tromsø ---> FALSE
Kristiansand & Trondheim ---> FALSE
Kristiansand & Ålesund ---> FALSE
Nord Amerika & Australia ---> FALSE
Nord Amerika & Europa ---> FALSE
Nord Amerika & Sør Amerika ---> FALSE
Oslo & Bergen ---> FALSE
Oslo & Bodø ---> FALSE
Oslo & Kristiansand ---> FALSE
Oslo & Stavanger ---> FALSE
Oslo & Tromsø ---> FALSE
Oslo & Trondheim ---> FALSE
Oslo & Ålesund ---> FALSE
Stavanger & Bergen ---> FALSE
Stavanger & Bodø ---> FALSE
Stavanger & Tromsø ---> FALSE
Stavanger & Trondheim ---> FALSE
Stavanger & Ålesund ---> FALSE
Sør Amerika & Australia ---> FALSE
Sør Amerika & Europa ---> FALSE
Trondheim & Bodø ---> FALSE
Trondheim & Tromsø ---> FALSE
Trondheim & kvinne ---> Sør Amerika
Trondheim & kvinne ---> frisør
advokat & elektriker ---> FALSE
advokat & modell ---> FALSE
advokat & rørlegger ---> FALSE
elektriker & modell ---> FALSE
elektriker & rørlegger ---> FALSE
frisør & advokat ---> FALSE
frisør & elektriker ---> FALSE
frisør & mann ---> Afrika
frisør & mann ---> Asia
frisør & mann ---> Australia
frisør & mann ---> Bergen
frisør & mann ---> Bodø
frisør & mann ---> Europa
frisør & mann ---> FALSE
frisør & mann ---> Kristiansand
frisør & mann ---> Nord Amerika
frisør & mann ---> Oslo
frisør & mann ---> Stavanger
frisør & mann ---> Sør Amerika
frisør & mann ---> Tromsø
frisør & mann ---> Trondheim
frisør & mann ---> eldre enn 60
frisør & mann ---> mellom 20 og 30
frisør & mann ---> mellom 30 og 40
frisør & mann ---> mellom 40 og 50
frisør & mann ---> mellom 50 og 60
frisør & mann ---> yngre enn 20
frisør & mann ---> Ålesund
frisør & modell ---> FALSE
frisør & musiker ---> FALSE
frisør & psykolog ---> FALSE
frisør & rørlegger ---> FALSE
kvinne & advokat ---> Afrika
kvinne & advokat ---> Asia
kvinne & advokat ---> Australia
kvinne & advokat ---> Bergen
kvinne & advokat ---> Bodø
kvinne & advokat ---> Europa
kvinne & advokat ---> FALSE
kvinne & advokat ---> Kristiansand
kvinne & advokat ---> Nord Amerika
kvinne & advokat ---> Oslo
kvinne & advokat ---> Stavanger
kvinne & advokat ---> Sør Amerika
kvinne & advokat ---> Tromsø
kvinne & advokat ---> Trondheim
kvinne & advokat ---> eldre enn 60
kvinne & advokat ---> mellom 20 og 30
kvinne & advokat ---> mellom 30 og 40
kvinne & advokat ---> mellom 40 og 50
kvinne & advokat ---> mellom 50 og 60
kvinne & advokat ---> yngre enn 20
kvinne & advokat ---> Ålesund
kvinne & elektriker ---> Afrika
