Year;Rank 1;Rank 2;Rank 3;Rank 4;Rank 5;Rank 6;Rank 7;Rank 8;Rank 9;Rank 10
1993;IDA;KAROLINE;SILJE;CAMILLA;KRISTINE;MARTE;MARIA;INGRID;KATRINE;JULIE
1994;KAROLINE;SILJE;IDA;MARTE;CAMILLA;KRISTINE;JULIE;STINE;INGRID;MARIA
1995;IDA;KAROLINE;MARTE;SILJE;KRISTINE;JULIE;CAMILLA;MARIA;INGRID;HELENE
1996;IDA;INGRID;JULIE;KAROLINE;MARTE;CAMILLA;SILJE;KRISTINE;MALIN;MARIA
1997;INGRID;IDA;KAROLINE;MARTE;JULIE;SILJE;KRISTINE;MALIN;CAMILLA;VILDE
1998;IDA;SILJE;MALIN;MARTE;KAROLINE;INGRID;EMILIE;JULIE;VILDE;EMMA
1999;EMILIE;INGRID;IDA;JULIE;MALIN;THEA;KAROLINE;MARTE;EMMA;SILJE
2000;IDA;EMILIE;JULIE;THEA;SARA;INGRID;MALIN;MARIA;MARTE;NORA
2001;JULIE;SARA;IDA;EMILIE;THEA;NORA;MARIA;HANNA;INGRID;MARTE
2002;SARA;IDA;THEA;JULIE;NORA;EMMA;INGRID;MARIA;EMILIE;HANNA
2003;EMMA;THEA;IDA;JULIE;SARA;NORA;MARIA;EMILIE;HANNA;INGRID
2004;EMMA;JULIE;IDA;THEA;NORA;EMILIE;MARIA;SARA;HANNA;INGRID
2005;THEA;EMMA;SARA;IDA;JULIE;HANNA;EMILIE;NORA;MALIN;INGRID
2006;THEA;SARA;EMMA;JULIE;NORA;HANNA;IDA;INGRID;EMILIE;MARIA
2007;SARA;THEA;EMMA;JULIE;NORA;IDA;EMILIE;LINNEA;INGRID;ANNA
2008;LINNEA;EMMA;SARA;NORA;THEA;IDA;SOFIE;LEAH;INGRID;JULIE
2009;EMMA;SARA;LINNEA;NORA;SOFIE;THEA;IDA;EMILIE;INGRID;MAJA
2010;EMMA;LINNEA;SARA;NORA;SOFIE;INGRID;EMILIE;MAJA;THEA;IDA
2011;EMMA;NORA;SARA;SOFIE;MAJA;THEA;LINNEA;INGRID;EMILIE;JULIE
2012;NORA;EMMA;SOFIE;LINNEA;INGRID;SARA;EMILIE;SOFIA;LEAH;IDA
2013;SARA;EMMA;SOFIE;NORA;MAJA;INGRID;SOFIA;THEA;LINNEA;EMILIE
2014;NORA;EMMA;SARA;SOFIE;EMILIE;SOFIA;MAJA;THEA;ANNA;LINNEA
2015;EMMA;NORA;SARA;SOFIE;SOFIA;OLIVIA;ELLA;EMILIE;LEAH;ANNA
2016;NORA;EMMA;SOFIE;SARA;SOFIA;MAJA;OLIVIA;ELLA;EMILIE;INGRID
2017;NORA;SOFIE;EMMA;SARA;OLIVIA;MAJA;ELLA;EMILIE;SOFIA;INGRID
2018;EMMA;NORA;OLIVIA;SARA;MAJA;EMILIE;SOFIE;ELLA;LEAH;AMALIE
2019;EMMA;NORA;ELLA;SOFIE;OLIVIA;SOFIA;ADA;MAJA;FRIDA;INGRID
2020;NORA;EMMA;ELLA;MAJA;OLIVIA;EMILIE;SOFIE;LEA;SOFIA;INGRID
2021;NORA;EMMA;SOFIE;OLIVIA;ELLA;SOFIA;MAJA;LEAH;FRIDA;INGRID
2022;NORA;EMMA;OLIVIA;ELLA;SOFIE;LEAH;FRIDA;IBEN;SOFIA;SARA
2023;OLIVIA;EMMA;ELLA;LEAH;SOFIE;NORA;SOFIA;MAJA;ALMA;ADA
